package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
team.duckie.quackquack.ui.QuackButton,QuackButton,1,0,0,0,0,0,0,0,1,6,
team.duckie.quackquack.ui.QuackBaseButton,QuackBaseButton,1,1,1,0,0,0,0,0,1,2,
team.duckie.quackquack.ui.QuackIcon,QuackIcon,1,0,0,0,0,0,0,0,2,3,
team.duckie.quackquack.ui.QuackImage,QuackImage,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.QuackImage,QuackImage,1,0,0,0,0,0,0,0,2,3,
team.duckie.quackquack.ui.QuackImage,QuackImage,1,0,0,0,0,0,0,0,2,6,
team.duckie.quackquack.ui.sugar.QuackPrimaryLargeButton,QuackPrimaryLargeButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSecondaryLargeButton,QuackSecondaryLargeButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackMediumButton,QuackMediumButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackPrimaryFilledSmallButton,QuackPrimaryFilledSmallButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackPrimaryOutlinedSmallButton,QuackPrimaryOutlinedSmallButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackPrimaryOutlinedRoundSmallButton,QuackPrimaryOutlinedRoundSmallButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSecondarySmallButton,QuackSecondarySmallButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSecondaryRoundSmallButton,QuackSecondaryRoundSmallButton,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackOutlinedTag,QuackOutlinedTag,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackFilledTag,QuackFilledTag,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackGrayscaleFlatTag,QuackGrayscaleFlatTag,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackGrayscaleOutlinedTag,QuackGrayscaleOutlinedTag,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackBody1,QuackBody1,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackBody2,QuackBody2,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackBody3,QuackBody3,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackHeadLine1,QuackHeadLine1,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackHeadLine2,QuackHeadLine2,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackLarge1,QuackLarge1,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSubtitle,QuackSubtitle,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSubtitle2,QuackSubtitle2,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackTitle1,QuackTitle1,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackTitle2,QuackTitle2,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.QuackSwitch,QuackSwitch,1,1,1,0,0,0,0,0,1,7,
team.duckie.quackquack.ui.QuackTab,QuackTab,1,1,1,0,0,0,1,0,3,10,
team.duckie.quackquack.ui.QuackTag,QuackTag,1,0,0,0,0,0,0,0,1,7,
team.duckie.quackquack.ui.QuackBaseTag,QuackBaseTag,1,1,1,0,0,0,0,0,1,2,
team.duckie.quackquack.ui.QuackText,QuackText,1,1,1,0,0,0,0,0,4,10,
team.duckie.quackquack.ui.ClickableText,ClickableText,1,1,1,0,0,0,0,0,1,4,
team.duckie.quackquack.ui.rememberSpanAnnotatedString,rememberSpanAnnotatedString,1,0,0,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.QuackDefaultTextField,QuackDefaultTextField,1,0,0,0,0,0,0,0,1,7,
team.duckie.quackquack.ui.QuackDefaultTextField,QuackDefaultTextField,1,0,0,0,0,0,0,0,1,10,
team.duckie.quackquack.ui.QuackFilledTextField,QuackFilledTextField,1,0,0,0,0,0,0,0,1,7,
team.duckie.quackquack.ui.QuackFilledTextField,QuackFilledTextField,1,0,0,0,0,0,0,0,1,10,
team.duckie.quackquack.ui.QuackBaseDefaultTextField,QuackBaseDefaultTextField,1,1,1,0,0,0,0,0,1,27,
team.duckie.quackquack.ui.QuackOutlinedTextField,QuackOutlinedTextField,1,0,0,0,0,0,0,0,1,0,
team.duckie.quackquack.ui.util.rememberLtrTextMeasurer,rememberLtrTextMeasurer,1,0,0,0,0,0,0,0,1,3,
team.duckie.quackquack.ui.util.currentFontScale,currentFontScale,1,0,0,1,1,0,0,0,1,1,
